,start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2021-09-09T00:00:00.0000000Z,1e-05,9e-05,6e-06,5.67e-05,2011322981294.0,161578
1,2021-09-10T00:00:00.0000000Z,5.67e-05,6e-05,6.76e-06,7.02e-06,3802508965310.0,174959
2,2021-09-11T00:00:00.0000000Z,7.02e-06,7.35e-06,6.73e-06,6.77e-06,1663194647440.0,56937
3,2021-09-12T00:00:00.0000000Z,6.78e-06,7.19e-06,6.64e-06,6.91e-06,859389740690.0,32182
4,2021-09-13T00:00:00.0000000Z,6.91e-06,7.1e-06,6.17e-06,6.48e-06,851189859422.0,29908
5,2021-09-14T00:00:00.0000000Z,6.48e-06,6.9e-06,6.44e-06,6.67e-06,737566296193.0,20507
6,2021-09-15T00:00:00.0000000Z,6.67e-06,6.91e-06,6.6e-06,6.78e-06,1354277928235.0,14975
7,2021-09-16T00:00:00.0000000Z,6.78e-06,1.34e-05,6.52e-06,8.81e-06,33954351242993.0,741375
8,2021-09-17T00:00:00.0000000Z,8.81e-06,9.7e-06,8.1e-06,8.43e-06,25611255172411.0,736681
9,2021-09-18T00:00:00.0000000Z,8.44e-06,8.62e-06,7.61e-06,7.86e-06,8832596190824.0,241123
10,2021-09-19T00:00:00.0000000Z,7.86e-06,8.48e-06,7.36e-06,8.17e-06,8445364127353.0,196478
11,2021-09-20T00:00:00.0000000Z,8.19e-06,8.24e-06,6.79e-06,7.02e-06,7355638215249.0,188969
12,2021-09-21T00:00:00.0000000Z,7.02e-06,7.34e-06,6.59e-06,6.88e-06,5538237599491.0,153498
13,2021-09-22T00:00:00.0000000Z,6.88e-06,7.33e-06,6.84e-06,7.26e-06,4489841945070.0,120223
14,2021-09-23T00:00:00.0000000Z,7.26e-06,7.75e-06,7.09e-06,7.65e-06,4498594696174.0,118882
15,2021-09-24T00:00:00.0000000Z,7.64e-06,7.88e-06,6.75e-06,7.39e-06,6663823660661.0,203148
16,2021-09-25T00:00:00.0000000Z,7.38e-06,7.6e-06,7.11e-06,7.34e-06,3505019854820.0,138372
17,2021-09-26T00:00:00.0000000Z,7.34e-06,7.34e-06,6.82e-06,7.11e-06,2946395635414.0,104964
18,2021-09-27T00:00:00.0000000Z,7.11e-06,7.27e-06,6.9e-06,6.98e-06,2940811891297.0,106334
19,2021-09-28T00:00:00.0000000Z,6.99e-06,7.18e-06,6.82e-06,6.98e-06,3018037529971.0,101209
20,2021-09-29T00:00:00.0000000Z,6.97e-06,7.17e-06,6.91e-06,7.02e-06,2496096816578.0,91063
21,2021-09-30T00:00:00.0000000Z,7.02e-06,7.44e-06,7e-06,7.21e-06,3339792052937.0,96826
22,2021-10-01T00:00:00.0000000Z,7.22e-06,7.82e-06,7.16e-06,7.72e-06,4111567081402.0,126957
23,2021-10-02T00:00:00.0000000Z,7.72e-06,8.26e-06,7.43e-06,7.88e-06,5015344983814.0,140140
24,2021-10-03T00:00:00.0000000Z,7.87e-06,9.04e-06,7.65e-06,8.56e-06,8797528784488.0,186706
25,2021-10-04T00:00:00.0000000Z,8.56e-06,1.54e-05,8.2e-06,1.349e-05,48432956234019.0,793960
26,2021-10-05T00:00:00.0000000Z,1.348e-05,2.5e-05,1.208e-05,1.734e-05,70619921253700.0,1340319
27,2021-10-06T00:00:00.0000000Z,1.734e-05,2.945e-05,1.662e-05,2.794e-05,76158902333947.0,1765285
28,2021-10-07T00:00:00.0000000Z,2.794e-05,3.7e-05,2.029e-05,2.292e-05,96921615699463.0,2342871
29,2021-10-08T00:00:00.0000000Z,2.292e-05,2.95e-05,2.057e-05,2.727e-05,53099338961807.0,1154545
30,2021-10-09T00:00:00.0000000Z,2.729e-05,3e-05,2.415e-05,2.671e-05,27664393028438.0,695912
31,2021-10-10T00:00:00.0000000Z,2.671e-05,2.782e-05,2.51e-05,2.616e-05,16808821854373.0,427828
32,2021-10-11T00:00:00.0000000Z,2.616e-05,3.212e-05,2.584e-05,3.066e-05,30099294306360.0,758764
33,2021-10-12T00:00:00.0000000Z,3.066e-05,3.156e-05,2.73e-05,2.906e-05,21754479119659.0,580305
34,2021-10-13T00:00:00.0000000Z,2.906e-05,3.07e-05,2.77e-05,2.87e-05,11830496645406.0,329919
