name,trust_score,trust_score_rank
Binance,10,1
Huobi Global,10,2
Coinbase Exchange,10,3
FTX,10,4
Crypto.com Exchange,10,5
KuCoin,10,6
Gate.io,10,7
Kraken,10,8
Binance US,10,9
WOO Network,10,10
Gemini,10,11
Bitrue,9,12
BitMart,9,13
Bitstamp,9,14
BtcTurk PRO,9,15
Bithumb Global,9,16
BTSE,9,17
AscendEX (BitMax),9,18
Bittrex,9,19
Bitbank,9,20
Bitkub,9,21
CEX.IO,9,22
Bitso,9,23
B2BX,9,24
OKEx,8,25
Coinsbit,8,26
ZB,8,27
P2PB2B,8,28
XT.COM,8,29
Digifinex,8,30
Bithumb,8,31
MEXC Global,8,32
Bibox,8,33
LATOKEN,8,34
AEX,8,35
CoinTiger,8,36
Dex-Trade,8,37
bitFlyer,8,38
GokuMarket,8,39
Poloniex,8,40
Indodax,8,41
eToroX,8,42
Max Maicoin,8,43
BitoPro,8,44
NiceHash,8,45
Kuna Exchange,8,46
Upbit,7,47
BKEX,7,48
LBank,7,49
WhiteBIT,7,50
BigONE,7,51
Hoo.com,7,52
Bitforex,7,53
FTX.US,7,54
AAX,7,55
Hotbit,7,56
ExMarkets,7,57
Coinone,7,58
Paribu,7,59
FinexBox,7,60
Coincheck,7,61
Bybit (spot),7,62
Liquid,7,63
Currency.com,7,64
Oceanex,7,65
WazirX,7,66
CoinEx,7,67
Tokenize,7,68
BHEX,7,69
KickEX,7,70
AlterDice,7,71
Okcoin,7,72
Blockchain.com,7,73
Luno,7,74
BitBNS,7,75
Nominex,7,76
Korbit,7,77
BiKi,7,78
Zaif,7,79
Mercado Bitcoin,7,80
BTCMarkets,7,81
Stormgain,7,82
Independent Reserve,7,83
Bitpanda Pro,7,84
CoinMetro,7,85
Narkasa,7,86
TheRockTrading,7,87
LCX Exchange,7,88
Uniswap (v3),6,89
PancakeSwap (v2),6,90
ZBG,6,91
CoinBene,6,92
Phemex,6,93
Changelly PRO,6,94
Sushiswap,6,95
Uniswap (v2),6,96
Catex,6,97
CoinFLEX,6,98
BW.com,6,99
Tokpie,7,100
